Boro rice,BRRI dhan29,1
Boro rice,Binadhan-6,1
Boro rice,BRRI hybrid dhan1,1
Boro rice,BRRI hybrid dhan2,1
Boro rice,BRRI hybrid dhan3,1
Boro rice,BR3,2
Boro rice,BR8,2
Boro rice,BR9,2
Boro rice,BR14,2
Boro rice,BR16,2
Boro rice,BR17,2
Boro rice,BR18,2
Boro rice,BR19,2
Boro rice,BRRI dhan28,2
Boro rice,BRRI dhan45,2
Boro rice,BRRI dhan47,2
Boro rice,BRRI dhan50,2
Boro rice,Binadhan-5,2
Boro rice,Binadhan-8,2
Boro rice,BR1,3
Boro rice,BR2,3
Boro rice,BR7,3
Boro rice,BR15,3
Boro rice,BRRI dhan35,3
Boro rice,BRRI dhan36,3
Boro rice,LIV under Transplanted Culture,4
T. Aus rice,BR1,1
T. Aus rice,BR2,1
T. Aus rice,BR3,1
T. Aus rice,BR7,1
T. Aus rice,BR8,1
T. Aus rice,BR9,1
T. Aus rice,BR14,1
T. Aus rice,BR16,1
T. Aus rice,BR26,1
T. Aus rice,BRRI dhan27,1
T. Aus rice,BRRI dhan48,1
T. Aus rice,Iratom24,1
T. Aus rice,BR6,2
T. Aus rice,BR20,2
T. Aus rice,BR21,2
T. Aus rice,BR24,2
T. Aus rice,BRRI dhan42,2
T. Aus rice,BRRI dhan43,2
B. Aus rice,BR6,1
B. Aus rice,BR20,1
B. Aus rice,BR21,1
B. Aus rice,BR24,1
B. Aus rice,BRRI dhan42,1
B. Aus rice,BRRI dhan43,1
B. Aus rice,Liv under Direct Seeded Culture,2
T. Aman rice,BR4,1
T. Aman rice,BR10,1
T. Aman rice,BR11,1
T. Aman rice,BR22,1
T. Aman rice,BR23,1
T. Aman rice,BRRI dhan30,1
T. Aman rice,BRRI dhan31,1
T. Aman rice,BRRI dhan32,1
T. Aman rice,BRRI dhan40,1
T. Aman rice,BRRI dhan41,1
T. Aman rice,BRRI dhan44,1
T. Aman rice,BRRI dhan46,1
T. Aman rice,BRRI dhan49,1
T. Aman rice,BRRI dhan51,1
T. Aman rice,BRRI dhan52,1
T. Aman rice,BRRI dhan53,1
T. Aman rice,BRRI dhan54,1
T. Aman rice,BRRI hybrid dhan4,1
T. Aman rice,Binadhan-4,1
T. Aman rice,Binadhan-7,1
T. Aman rice,Binadhan-8,1
T. Aman rice,BR25,2
T. Aman rice,BRRI dhan33,2
T. Aman rice,BRRI dhan39,2
T. Aman rice,BRRI dhan56,2
T. Aman rice,BRRI dhan57,2
T. Aman rice,Binashail,2
T. Aman rice,BR5,3
T. Aman rice,BRRI dhan34,3
T. Aman rice,BRRI dhan37,3
T. Aman rice,BRRI dhan38,3
T. Aman rice,Binadhan-9,5
