Wheat (Irrigated),1,N,Optimum,0,40,40
Wheat (Irrigated),1,N,Medium,41,80,40
Wheat (Irrigated),1,N,Low,81,120,40
Wheat (Irrigated),1,N,Very Low,121,160,40
Wheat (Irrigated),1,P,Optimum,0,10,10
Wheat (Irrigated),1,P,Medium,11,20,10
Wheat (Irrigated),1,P,Low,21,30,10
Wheat (Irrigated),1,P,Very Low,31,40,10
Wheat (Irrigated),1,K,Optimum,0,30,30
Wheat (Irrigated),1,K,Medium,31,60,30
Wheat (Irrigated),1,K,Low,61,90,30
Wheat (Irrigated),1,K,Very Low,91,120,30
Wheat (Irrigated),1,S,Optimum,0,5,5
Wheat (Irrigated),1,S,Medium,6,10,5
Wheat (Irrigated),1,S,Low,11,15,5
Wheat (Irrigated),1,S,Very Low,16,20,5
Wheat (Irrigated),1,Mg,Optimum,0,0,0
Wheat (Irrigated),1,Mg,Medium,0,3,3
Wheat (Irrigated),1,Mg,Low,4,6,3
Wheat (Irrigated),1,Mg,Very Low,7,9,3
Wheat (Irrigated),1,Zn,Optimum,0,0,0
Wheat (Irrigated),1,Zn,Medium,0,1.3,1.3
Wheat (Irrigated),1,Zn,Low,1.4,2.6,1.3
Wheat (Irrigated),1,Zn,Very Low,2.7,3.9,1.3
Wheat (Irrigated),1,B,Optimum,0,0,0
Wheat (Irrigated),1,B,Medium,0,0.5,0.5
Wheat (Irrigated),1,B,Low,0.6,1,0.5
Wheat (Irrigated),1,B,Very Low,1.1,1.5,0.5
Wheat (Rainfed),1,N,Optimum,0,15,15
Wheat (Rainfed),1,N,Medium,16,30,15
Wheat (Rainfed),1,N,Low,31,45,15
Wheat (Rainfed),1,N,Very Low,46,60,15
Wheat (Rainfed),1,P,Optimum,0,5,5
Wheat (Rainfed),1,P,Medium,6,10,5
Wheat (Rainfed),1,P,Low,11,15,5
Wheat (Rainfed),1,P,Very Low,16,20,5
Wheat (Rainfed),1,K,Optimum,0,12,12
Wheat (Rainfed),1,K,Medium,13,24,12
Wheat (Rainfed),1,K,Low,25,36,12
Wheat (Rainfed),1,K,Very Low,37,48,12
Wheat (Rainfed),1,S,Optimum,0,2.5,2.5
Wheat (Rainfed),1,S,Medium,2.6,5,2.5
Wheat (Rainfed),1,S,Low,5.1,7.5,2.5
Wheat (Rainfed),1,S,Very Low,7.6,10,2.5
Wheat (Rainfed),1,Mg,Optimum,0,0,0
Wheat (Rainfed),1,Mg,Medium,0,0,0
Wheat (Rainfed),1,Mg,Low,0,3,3
Wheat (Rainfed),1,Mg,Very Low,4,6,3
Wheat (Rainfed),1,Zn,Optimum,0,0,0
Wheat (Rainfed),1,Zn,Medium,0,0,0
Wheat (Rainfed),1,Zn,Low,0,1,1
Wheat (Rainfed),1,Zn,Very Low,1.1,2,1
Wheat (Rainfed),1,B,Optimum,0,0,0
Wheat (Rainfed),1,B,Medium,0,0.4,0.4
Wheat (Rainfed),1,B,Low,0.5,0.8,0.4
Wheat (Rainfed),1,B,Very Low,0.9,1.2,0.4
Boro rice,1,N,Optimum,0,50,50
Boro rice,1,N,Medium,51,100,50
Boro rice,1,N,Low,101,150,50
Boro rice,1,N,Very Low,151,200,50
Boro rice,1,P,Optimum,0,8,8
Boro rice,1,P,Medium,9,16,8
Boro rice,1,P,Low,17,24,8
Boro rice,1,P,Very Low,25,32,8
Boro rice,1,K,Optimum,0,33,33
Boro rice,1,K,Medium,34,66,33
Boro rice,1,K,Low,67,99,33
Boro rice,1,K,Very Low,100,132,33
Boro rice,1,S,Optimum,0,6,6
Boro rice,1,S,Medium,7,12,6
Boro rice,1,S,Low,13,18,6
Boro rice,1,S,Very Low,19,24,6
Boro rice,1,Zn,Optimum,0,0,0
Boro rice,1,Zn,Medium,0,1.3,1.3
Boro rice,1,Zn,Low,1.4,2.6,1.3
Boro rice,1,Zn,Very Low,2.7,3.9,1.3
Boro rice,2,N,Optimum,0,45,45
Boro rice,2,N,Medium,46,90,45
Boro rice,2,N,Low,91,135,45
Boro rice,2,N,Very Low,136,180,45
Boro rice,2,P,Optimum,0,7,7
Boro rice,2,P,Medium,8,14,7
Boro rice,2,P,Low,15,21,7
Boro rice,2,P,Very Low,22,28,7
Boro rice,2,K,Optimum,0,30,30
Boro rice,2,K,Medium,31,60,30
Boro rice,2,K,Low,61,90,30
Boro rice,2,K,Very Low,91,120,30
Boro rice,2,S,Optimum,0,5,5
Boro rice,2,S,Medium,6,10,5
Boro rice,2,S,Low,11,15,5
Boro rice,2,S,Very Low,16,20,5
Boro rice,2,Zn,Optimum,0,0,0
Boro rice,2,Zn,Medium,0,1,1
Boro rice,2,Zn,Low,1.1,2,1
Boro rice,2,Zn,Very Low,2.1,3,1
Boro rice,3,N,Optimum,0,40,40
Boro rice,3,N,Medium,41,80,40
Boro rice,3,N,Low,81,120,40
Boro rice,3,N,Very Low,121,160,40
Boro rice,3,P,Optimum,0,7,7
Boro rice,3,P,Medium,8,14,7
Boro rice,3,P,Low,15,21,7
Boro rice,3,P,Very Low,22,28,7
Boro rice,3,K,Optimum,0,30,30
Boro rice,3,K,Medium,31,60,30
Boro rice,3,K,Low,61,90,30
Boro rice,3,K,Very Low,91,120,30
Boro rice,3,S,Optimum,0,5,5
Boro rice,3,S,Medium,6,10,5
Boro rice,3,S,Low,11,15,5
Boro rice,3,S,Very Low,16,20,5
Boro rice,3,Zn,Optimum,0,0,0
Boro rice,3,Zn,Medium,0,0.7,0.7
Boro rice,3,Zn,Low,0.8,1.4,0.7
Boro rice,3,Zn,Very Low,1.5,2.1,0.7
Boro rice,4,N,Optimum,0,23,23
Boro rice,4,N,Medium,24,46,23
Boro rice,4,N,Low,47,69,23
Boro rice,4,N,Very Low,70,92,23
Boro rice,4,P,Optimum,0,4,4
Boro rice,4,P,Medium,5,8,4
Boro rice,4,P,Low,9,12,4
Boro rice,4,P,Very Low,13,16,4
Boro rice,4,K,Optimum,0,14,14
Boro rice,4,K,Medium,15,28,14
Boro rice,4,K,Low,29,42,14
Boro rice,4,K,Very Low,43,56,14
Boro rice,4,S,Optimum,0,3,3
Boro rice,4,S,Medium,4,6,3
Boro rice,4,S,Low,7,9,3
Boro rice,4,S,Very Low,10,12,3
Boro rice,4,Zn,Optimum,0,0,0
Boro rice,4,Zn,Medium,0,0.6,0.6
Boro rice,4,Zn,Low,0.7,1.2,0.6
Boro rice,4,Zn,Very Low,1.3,1.8,0.6
T. Aus rice,1,N,Optimum,0,25,25
T. Aus rice,1,N,Medium,26,50,25
T. Aus rice,1,N,Low,51,75,25
T. Aus rice,1,N,Very Low,76,100,25
T. Aus rice,1,P,Optimum,0,5,5
T. Aus rice,1,P,Medium,6,10,5
T. Aus rice,1,P,Low,11,15,5
T. Aus rice,1,P,Very Low,16,20,5
T. Aus rice,1,K,Optimum,0,15,15
T. Aus rice,1,K,Medium,16,30,15
T. Aus rice,1,K,Low,31,45,15
T. Aus rice,1,K,Very Low,46,60,15
T. Aus rice,1,S,Optimum,0,3,3
T. Aus rice,1,S,Medium,4,6,3
T. Aus rice,1,S,Low,7,9,3
T. Aus rice,1,S,Very Low,10,12,3
T. Aus rice,1,Zn,Optimum,0,0,0
T. Aus rice,1,Zn,Medium,0,0.6,0.6
